price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,sqft_above,yr_built,sqft_living15,sqft_lot15,presence_of_basement,presence_of_renovation,year,property_age,basement_present,renovated,view#0,view#1,view#2,view#3,view#4,grade#1,grade#3,grade#4,grade#5,grade#6,grade#7,grade#8,grade#9,grade#10,grade#11,grade#12,grade#13,zipcode#98004,zipcode#98102,zipcode#98109,zipcode#98112,zipcode#98039,zipcode#98040
221900.0,3,1.0,1180,5650,1.0,0,3,1180,1955,1340,5650,0,0,2014,59,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
538000.0,3,2.25,2570,7242,2.0,0,3,2170,1951,1690,7639,1,1,2014,63,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180000.0,2,1.0,770,10000,1.0,0,3,770,1933,2720,8062,0,0,2015,82,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
604000.0,4,3.0,1960,5000,1.0,0,5,1050,1965,1360,5000,1,0,2014,49,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
510000.0,3,2.0,1680,8080,1.0,0,3,1680,1987,1800,7503,0,0,2015,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1225000.0,4,4.5,5420,101930,1.0,0,3,3890,2001,4760,101930,1,0,2014,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
257500.0,3,2.25,1715,6819,2.0,0,3,1715,1995,2238,6819,0,0,2014,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291850.0,3,1.5,1060,9711,1.0,0,3,1060,1963,1650,9711,0,0,2015,52,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
229500.0,3,1.0,1780,7470,1.0,0,3,1050,1960,1780,8113,1,0,2015,55,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
323000.0,3,2.5,1890,6560,2.0,0,3,1890,2003,2390,7570,0,0,2015,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
662500.0,3,2.5,3560,9796,1.0,0,3,1860,1965,2210,8925,1,0,2015,50,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468000.0,2,1.0,1160,6000,1.0,0,4,860,1942,1330,6000,1,0,2014,72,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310000.0,3,1.0,1430,19901,1.5,0,4,1430,1927,1780,12697,0,0,2014,87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400000.0,3,1.75,1370,9680,1.0,0,4,1370,1977,1370,10208,0,0,2014,37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
530000.0,5,2.0,1810,4850,1.5,0,3,1810,1900,1360,4850,0,0,2015,115,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
650000.0,4,3.0,2950,5000,2.0,0,3,1980,1979,2140,4000,1,0,2015,36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
395000.0,3,2.0,1890,14040,2.0,0,3,1890,1994,1890,14018,0,0,2014,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
485000.0,4,1.0,1600,4300,1.5,0,4,1600,1916,1610,4300,0,0,2014,98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189000.0,2,1.0,1200,9850,1.0,0,4,1200,1921,1060,5095,0,0,2014,93,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230000.0,3,1.0,1250,9774,1.0,0,4,1250,1969,1280,8850,0,0,2015,46,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
385000.0,4,1.75,1620,4980,1.0,0,4,860,1947,1400,4980,1,0,2014,67,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000000.0,3,2.75,3050,44867,1.0,0,3,2330,1968,4110,20336,1,0,2014,46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
285000.0,5,2.5,2270,6300,2.0,0,3,2270,1995,2240,7005,0,0,2014,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
252700.0,2,1.5,1070,9643,1.0,0,3,1070,1985,1220,8386,0,0,2014,29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
